KONTO_NR;KONTO_BEZ;KONTO_TYP;KONTO_GRP;KONTO_ART
"70318";"Buchungsbestätigung BLICHUNOSNUMMER. 3026.887.286";"Passiva";"Kreditor";"Kreditor"
"70319";"FEB Fördergesellschaft";"Passiva";"Kreditor";"Kreditor"
"70320";"Prime Solar Solutions UG";"Passiva";"Kreditor";"Kreditor"
"70321";"Bosswerk GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70322";"DAA GmbH";"Passiva";"Kreditor";"Kreditor"
"70323";"Jennifer Schäffner";"Passiva";"Kreditor";"Kreditor"
"70324";"Kundenbeleg HZA Berlin Zollzahlstelle";"Passiva";"Kreditor";"Kreditor"
"70325";"Renova ";"Passiva";"Kreditor";"Kreditor"
"70326";"KingB Trading GmbH";"Passiva";"Kreditor";"Kreditor"
"70327";"TotalEnergies Tankstelle TO Autoservice GmbH";"Passiva";"Kreditor";"Kreditor"
"70328";"0BI GmbH & Co. Deutschland KG Filiale Berlin Spandau";"Passiva";"Kreditor";"Kreditor"
"70329";"Jagdnaus Spandau";"Passiva";"Kreditor";"Kreditor"
"70330";"0BI OrbH & Co. Deutschland KG Fillaie Berlin Spandau";"Passiva";"Kreditor";"Kreditor"
"70331";"BORGA GmbH";"Passiva";"Kreditor";"Kreditor"
"70332";"Dachbau GmbH";"Passiva";"Kreditor";"Kreditor"
"70333";"Bauhaus Fachcentren Umbil & Co. KG 604 DERLIN";"Passiva";"Kreditor";"Kreditor"
"70334";"Cafe Lutetia";"Passiva";"Kreditor";"Kreditor"
"70335";"Bakra Sp Z.O.O";"Passiva";"Kreditor";"Kreditor"
"70336";"Vadenfall Europe Sales GmbH";"Passiva";"Kreditor";"Kreditor"
"70337";"Quartier Apotheke. Die Gesundheitsexperten vor Ort.";"Passiva";"Kreditor";"Kreditor"
"70338";"Ara an<ste _ e Gordon FirleY";"Passiva";"Kreditor";"Kreditor"
"70339";"Tier GmbH ";"Passiva";"Kreditor";"Kreditor"
"70340";"star- Tankstelle Eyleen Bredenhagen";"Passiva";"Kreditor";"Kreditor"
"70341";"Altstadt späti";"Passiva";"Kreditor";"Kreditor"
"70342";"Nahkauf Ronny Farber";"Passiva";"Kreditor";"Kreditor"
"70343";"HEM-Panketal f52";"Passiva";"Kreditor";"Kreditor"
"70344";"Bezirksamt Neukölln von Berlin";"Passiva";"Kreditor";"Kreditor"
"70345";"Stadt Keit n/Have] Havelfähre "Charlotte";"Passiva";"Kreditor";"Kreditor"
"70346";"EDEKA Meissner";"Passiva";"Kreditor";"Kreditor"
"70347";"Blume 2000 SE";"Passiva";"Kreditor";"Kreditor"
"70348";"Altstadt Späti";"Passiva";"Kreditor";"Kreditor"
"70349";"mein";"Passiva";"Kreditor";"Kreditor"
"70350";"Kosteneinziehungsstelle der Justiz ";"Passiva";"Kreditor";"Kreditor"
"70351";"RA Christof Maurer";"Passiva";"Kreditor";"Kreditor"
"70352";"Shell Station";"Passiva";"Kreditor";"Kreditor"
"70353";"BORGA GmbH";"Passiva";"Kreditor";"Kreditor"
"70354";"Optiker Bode";"Passiva";"Kreditor";"Kreditor"
"70355";"0ptiker Bode OmbH";"Passiva";"Kreditor";"Kreditor"
"70356";"Lidl";"Passiva";"Kreditor";"Kreditor"
"70357";"SUN Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70358";"SHELL Station";"Passiva";"Kreditor";"Kreditor"
"70359";"KTG Baumaschinen GmbH";"Passiva";"Kreditor";"Kreditor"
"70360";"Bauhaus GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70361";"Sprint Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70362";"Altstadt Späti";"Passiva";"Kreditor";"Kreditor"
"70363";"Aktiv Werbung Freiburg";"Passiva";"Kreditor";"Kreditor"
"70364";"Neuformhaus am Markt";"Passiva";"Kreditor";"Kreditor"
"70365";"Tabak Zeitschriften Lotto Schuhbauer";"Passiva";"Kreditor";"Kreditor"
"70366";"Sushi Mana, Inh. Mhd. Jumaa Adilla";"Passiva";"Kreditor";"Kreditor"
"70367";"Kath Hasenfuss Recycling GmbH";"Passiva";"Kreditor";"Kreditor"
